Taxon	microhab_pel	microhab_arg	microhab_psa	microhab_aka	microhab_mil	microhab_mal	microhab_hpe	microhab_alg	microhab_mph	microhab_pom	microhab_woo	microhab_mad	microhab_oth	current_lib	current_lip	current_lrp	current_rlp	current_rhp	current_rhb	current_ind	temp_vco	temp_cod	temp_mod	temp_war	temp_eut	pH_aci	pH_neu	pH_ind	sapro_xeno	sapro_oligo	sapro_beta	sapro_alpha	sapro_poly	feedingtype_gra	feedingtype_min	feedingtype_xyl	feedingtype_shr	feedingtype_gat	feedingtype_aff	feedingtype_pff	feedingtype_pre	feedingtype_par	feedingtype_other
Hydatophylax infumatus										5	5					1										1			1	6	3			1			7				2		
Hydatophylax variabilis																1																											
Isogamus aequalis																		1																									
Isogamus czarnohorensis																																											
Isogamus lineatus																		1																									
Kelgena kelensis																																											
Kelgena minima																																											
Lenarchus bicornis												10		1																													
Lenarchus productus														1																													
Leptotaulius gracilis	1		3	3	2	1										1													6	4							4	4			2		
Limnephilus affinis															1																			2			5				3		
Limnephilus aistleitneri															1																												
Limnephilus algosus														1																				2			5				3		
Limnephilus atlanticus															1																												
Limnephilus auricula	1		1						6	2					1																			2			5				3		
Limnephilus binotatus	1		1						6	2				1																				2			5				3		
Limnephilus bipunctatus	1		1						6	2				1																				2			5				3		
Limnephilus borealis									2	2	4	2		1																				2			5				3		
Limnephilus centralis															1													1						2			5				3		
Limnephilus cianficconiae																																											
Limnephilus coenosus	1		1						6	2				1															1	4	5			2			5				3		
Limnephilus decipiens	1		1						6	2				1																	7	3		2			5				3		
Limnephilus diphyes															1																												
Limnephilus dispar														1																													
Limnephilus elegans									2	2	3	3		1														1						2			5				3		
Limnephilus externus														1																													
Limnephilus extricatus	1		5						3	1					1													1		2	5	2	1	2			5				3		
Limnephilus femoralis														1																													
Limnephilus femoratus														1																													
Limnephilus fenestratus														1																													
Limnephilus flavicornis	1		1						6	2					1													1						2			5				3		
Limnephilus flavospinosus															1													1															
Limnephilus fuscicornis	1		1						6	2					1																			2			5				3		
Limnephilus fuscinervis	1		1						6	2				1																													
Limnephilus germanus	1		1						6	2					1																			2			5				3		
Limnephilus graecus																																											
Limnephilus griseus	1		1						6	2				1									10			1								2			5				3		
Limnephilus guadarramicus														1																													
Limnephilus helveticus														1																				2			5				3		
Limnephilus hirsutus															1												1							2			5				3		
Limnephilus ignavus															1																			2			5				3		
Limnephilus incisus														1													1							2			5				3		
Limnephilus italicus														1																				2			5				3		
Limnephilus lunatus	1		1						6	2					1													1						2			5				3		
Limnephilus luridus															1											1								2			5				3		
Limnephilus major																																											
Limnephilus marmoratus	1		1						6	2					1															2	6	2		2			5				3		
Limnephilus minos														1																													
Limnephilus nigriceps															1																			2			5				3		
Limnephilus nybomi																																											
Limnephilus obsoletus																																											
Limnephilus pantodapus														1																													
Limnephilus pati															1											1																	
Limnephilus petri																																											
Limnephilus picturatus														1																													
Limnephilus politus															1												1							2			5				3		
Limnephilus ponticus																																											
Limnephilus quadratus																																											
Limnephilus rhombicus reseri															1															2	6	2		2			5				3		
Limnephilus rhombicus rhombicus	1		1						6	2					1													1		2	6	2		2			5				3		
Limnephilus sericeus															1																			2			5				3		
Limnephilus sparsus	1		1						6	2				1																				2			5				3		
Limnephilus stigma	1		1						6	2				1														1		2	6	2		2			5				3		
Limnephilus subcentralis	1		1						6	2				1																				2			5				3		
Limnephilus subnitidus																																											
Limnephilus tauricus														1																													
Limnephilus vallei																																											
Limnephilus vittatus	1		1						6	2				1														1						2			5				3		
Limnephilus wittmeri														1																													
Melampophylax austriacus				2	3	3				2								1																									
Melampophylax melampus																		1											4	5	1			2			6				2		
Melampophylax mucoreus				2	3	3				2								1											3	5	2			8			1				1		
Melampophylax nepos nepos																		1																									
Melampophylax nepos trangulifera																		1																									
Melampophylax polonicus banaticus																		1																									
Melampophylax polonicus gutinicus																		1																									
Melampophylax polonicus polonicus																		1																									
Melampophylax vestinorum																		1																									
Mesophylax aspersus aspersus				3	3	3		1									1																					5			5		
Mesophylax aspersus canariensis																	1																										
Mesophylax impunctatus aduncus																	1																										
Mesophylax impunctatus impunctatus				3	3	3		1									1																	2			6				2		
Mesophylax impunctatus zetlandicus																	1																										
Mesophylax morettii																	1																										
Mesophylax oblitus																	1																										
Mesophylax sardous																	1																										
Micropterna baduka																																											
Micropterna casareica																	1																										
Micropterna clavata																	1																										
Micropterna coiffaiti																	1																										
Micropterna fissa																	1																										
Micropterna hatatitla																	1																										
Micropterna lateralis					2	2				4	2						1											1						2			6				2		
Micropterna lavandieri																	1																										
Micropterna malaspina														1																													
Micropterna malatesta																	1																										
Micropterna muehleni																	1																										
Micropterna nycterobia																	1																	2			6				2		
Micropterna sequax				3	1					6							1																	2			6				2		
Micropterna taurica																	1																										
Micropterna terekensis																																											
Micropterna testacea																	1																	2			6				2		
Micropterna wageneri																	1																										
Nemotaulius punctatolineatus									10					1																													
Parachiona picicornis	1		3	3	2	1										1													6	4							4	4			2		
Platyphylax frauenfeldi																1																											
Potamophylax albergaria																	1																										
Potamophylax borislavi																	1																										
Potamophylax carpathicus																	1																										
Potamophylax cingulatus alpinus					3	3				4							1																	2			6				2		
Potamophylax cingulatus cingulatus					3	3				4							1											1	3	5	2			2			6				2		
Potamophylax cingulatus depilis																	1																										
Potamophylax cingulatus gambaricus																	1																										
Potamophylax cingulatus ibericus																	1																										
Potamophylax cingulatus inermis																	1																										
Potamophylax excisus																																											
Potamophylax goulandriorum																	1																										
Potamophylax gurunaki																	1																										
Potamophylax haidukorum																	1																										
Potamophylax juliani																	1																										
Potamophylax jungi																	1																										
Potamophylax latipennis					3	3				4							1											1	1	5	4			2			6				2		
Potamophylax luctuosus luctuosus					3	3				4							1												1	5	4			2			6				2		
Potamophylax millenii																	1																										
Potamophylax nigricornis																	1												5	5				2			6				2		
Potamophylax pallidus					3	3				4							1																										
Potamophylax rotundipennis					3	3				4							1													4	4	2		2			6				2		
Potamophylax schmidi																	1																										
Potamophylax winneguthi																	1																										
Pseudopsilopteryx zimmeri																1													5	4	1			2			6				2		
Psilopterna alageza																																											
Psilopterna pevzovi																																											
Psilopteryx bosniaca																1																											
Psilopteryx curviclavatus																1																											
Psilopteryx montanus																1																											
Psilopteryx psorosa bohemosaxonica																1																											
Psilopteryx psorosa carpathica																1																											
Psilopteryx psorosa gutinensis																1																											
Psilopteryx psorosa psorosa																1																											
Psilopteryx psorosa retezatica																1																											
Psilopteryx psorosa transsylvanica																1																											
Psilopteryx schmidi																1																											
Rhadicoleptus alpestris alpestris	2								8					1															1	4	5			1			6				3		
Rhadicoleptus alpestris macedonicus	2								8					1																													
Rhadicoleptus alpestris meridiocarpaticus	2								8					1																													
Rhadicoleptus alpestris spinifer	2								8					1																													
Rhadicoleptus alpestris sylvanocarpaticus	2								8					1																													
Rhadicoleptus ucenorum	2								8						1																												
Stenophylax alex																																											
Stenophylax bischofi																	1																										
Stenophylax crossotus																	1																										
Stenophylax espanioli																	1																										
Stenophylax meridiorientalis																	1																										
Stenophylax minoicus																	1																										
Stenophylax mitis																	1																										
Stenophylax mucronatus																	1																										
Stenophylax permistus																	1											1									5	5					
Stenophylax vibex																	1																										
MOLANNIDAE																																											
Molanna albicans	5		5												1																												
Molanna angustata	5		5												1											1				2	6	2						3			7		
Molanna nigra	5		5											1																													
Molanna submarginalis	5		5											1																													
Molannodes tinctus	5		5												1											1												3			7		
ODONTOCERIDAE																																											
Odontocerum albicorne			2	2	2	2					2							1									1		1	6	3			3			3				4		
Odontocerum hellenicum																		1																									
Odontocerum lusitanicum																																											
PHILOPOTAMIDAE																																											
Chimarra marginata					5	5											1																							10			
Dolophilodes ornata																																											
Philopotamus achemenus					5	5										1																											
Philopotamus corsicanus					5	5										1																											
Philopotamus liguricus					5	5										1																											
Philopotamus ludificatus					5	5										1											1		5	5										10			
Philopotamus montanus arvernicus					5	5										1																											
Philopotamus montanus caurelensis					5	5										1																											
Philopotamus montanus insularis					5	5										1																											
Philopotamus montanus montanus					5	5										1											1		2	5	3									10			
Philopotamus montanus perversus					5	5										1																											
Philopotamus montanus siculus					5	5										1																								10			
Philopotamus variegatus amphilectus					5	5										1																											
Philopotamus variegatus flavidus					5	5										1																											
Philopotamus variegatus hispanicus					5	5										1																											
Philopotamus variegatus variegatus					5	5										1											1		1	6	3									10			
Wormaldia arriba					5	5											1																										
Wormaldia artillac					5	5											1																										
Wormaldia asterusia					5	5											1																										
Wormaldia balcanica					5	5											1																										
Wormaldia beaumonti					5	5											1																										
Wormaldia bulgarica					5	5											1																										
Wormaldia cantabrica					5	5											1																										
Wormaldia charalambi					5	5											1																										
Wormaldia copiosa botosaneaunui					5	5											1																							10			
Wormaldia copiosa copiosa					5	5											1												7	3										10			
Wormaldia corvina					5	5											1																										
Wormaldia echinata					5	5											1																										
Wormaldia gardensis					5	5											1																										
Wormaldia joosti					5	5											1																										
Wormaldia kakopetros					5	5											1																										
Wormaldia khourmai					5	5											1																										
Wormaldia kimminsi					5	5											1																										
Wormaldia langohri					5	5											1																										
Wormaldia lusitanica					5	5											1																										
Wormaldia mediana mediana					5	5											1										1																
Wormaldia mediana nielseni					5	5											1																										
Wormaldia moselyi					5	5											1																										
Wormaldia occipitalis bosniaca					5	5											1																							10			
Wormaldia occipitalis hellenica					5	5											1																										
Wormaldia occipitalis juliani					5	5											1																										
Wormaldia occipitalis meridionalis					5	5											1																										
Wormaldia occipitalis morettii					5	5											1																							10			
Wormaldia occipitalis occipitalis					5	5											1										1		8	2										10			
Wormaldia occipitalis serratosioi					5	5											1																										
Wormaldia occipitalis subterranea					5	5											1																										
Wormaldia occipitalis vaillantorum					5	5											1																										
Wormaldia pulla marlieri					5	5											1																							10			
Wormaldia pulla pulla					5	5											1												5	4	1									10			
Wormaldia saldetica					5	5											1																										
Wormaldia subnigra					5	5											1										1													10			
Wormaldia tagananana					5	5											1																										
Wormaldia triangulifera					5	5											1																										
Wormaldia vargai					5	5											1																										
Wormaldia variegata corsicana					5	5											1																										
Wormaldia variegata denisi					5	5											1																										
Wormaldia variegata maclachlani					5	5											1																										
Wormaldia variegata mattheyi					5	5											1																										
Wormaldia variegata variegata					5	5											1																										
Wormaldia variegata vercorsica					5	5											1																										
PHRYGANEIDAE																																											
Agrypnia crassicornis	2								2	3	3				1										10		1																
Agrypnia czerskii	2								2	3	3				1																												
Agrypnia obsoleta	2								2	3	3				1										10	1											3	1			6		
Agrypnia pagetana	2								2	3	3			1											10			1									3	1			6		
Agrypnia picta	2								2	3	3				1																						3	1			6		
Agrypnia principalis	2								2	3	3				1																												
Agrypnia sahlbergi	2								2	3	3				1																												
Agrypnia varia	2								2	3	3			1											10			1									3	1			6		
Hagenella clathrata									5	5				1											10	1			2	5	3						5				5		
Holostomis atrata																																											
Holostomis phalaenoides									5			1	4	1											10	1																	
Oligostomis reticulata	2								4	4					1						1	2	6	1		1				2	5	3		4			2	4					
Oligotricha lapponica	2								4	4				1																													
Oligotricha striata													10	1											10	1			2	5	3						3	1			6		
Phryganea bipunctata	2								2	3	3			1											10			1						1			2	1			6		
Phryganea grandis grandis	2								2	3	3			1											10	1								1			2	1			6		
Phryganea grandis nattereri	2								2	3	3			1																													
Phryganea grandis ochrida	2								2	3	3			1																													
Phryganea grandis rotundata	2								2	3	3			1																													
Trichostegia minor									5	5				1											10			1						3			2	1			4		
POLYCENTROPODIDAE																																											
Cyrnus cintranus															1																												
Cyrnus crenaticornis								1	9					1																										1	9		
Cyrnus fennicus														1																													
Cyrnus flavidus								1	9					1												1														1	9		
Cyrnus insolutus								1	9						1																									1	9		
Cyrnus monserrati																																											
Cyrnus trimaculatus					2	2			6						1											1					6	4								1	9		
Holocentropus dubius									10					1												1					5	5								1	9		
Holocentropus insignis									10					1																													
Holocentropus picicornis									10					1																	5	5								1	9		
Holocentropus stagnalis									10					1																	5	5								1	9		
Holocentropus varangensis									10					1																													
Neureclipsis bimaculata					2	2			4		2						1									1				1	7	2								1	9		
Plectrocnemia alicatai																1																											
Plectrocnemia appennina																1																											
Plectrocnemia brevis					2	2			2	2	2					1													6	4										1	9		
Plectrocnemia conjuncta																1																											
Plectrocnemia conspersa conspersa					2	2			2	2	2					1										1			1	3	4	2								1	9		
Plectrocnemia conspersa keftiu																1																											
Plectrocnemia geniculata almoravida																1																											
Plectrocnemia geniculata calabrica																1																								1	9		
Plectrocnemia geniculata corsicana																1																								1	9		
Plectrocnemia geniculata factiosa																1																								1	9		
Plectrocnemia geniculata geniculata					2	2			2	2	2					1													4	5	1									1	9		
Plectrocnemia geniculata prealpina																1																											
Plectrocnemia inflata																1																											
Plectrocnemia kisbelai																1																											
Plectrocnemia kydon																1																											
Plectrocnemia laetabilis				10												1																											
Plectrocnemia limosa																1																											
Plectrocnemia minima																1																											
Plectrocnemia mojkovacensis																1																											
Plectrocnemia praestans																1																											
Plectrocnemia renetta																1																											
Plectrocnemia scruposa																1																											
Plectrocnemia smiljae																1																											
Polycentropus cianficconiae																1																											
Polycentropus corniger																1																											
Polycentropus corsicus																1																											
Polycentropus devetaki																1																											
Polycentropus divergens																1																											
Polycentropus excisus					2	2			2	2	2					1													2	5	3									1	9		
Polycentropus flavomaculatus flavomaculatus					2	2			2	2	2					1										1				2	6	2								1	9		
Polycentropus flavostictus																1																											
Polycentropus francavillensis																1																											
Polycentropus ichnusa																1																											
Polycentropus ierapetra dirfis																1																											
Polycentropus ierapetra ierapetra																1																											
Polycentropus ierapetra ikaria																1																											
Polycentropus ierapetra kalliope																1																											
Polycentropus ierapetra septentrionalis																1																											
Polycentropus ierapetra slovenica																1																											
Polycentropus intricatus																1																											
Polycentropus irroratus					2	2			2	2	2					1										1			1	4	4	1								1	9		
Polycentropus kingi					10											1																											
Polycentropus malickyi																1																											
Polycentropus mazdakus																																											
Polycentropus milikuri																1																											
Polycentropus morettii																1																											
Polycentropus mortoni																1																											
Polycentropus pirisinui																1																											
Polycentropus radaukles																1																											
Polycentropus schmidi																1																											
Polycentropus segregatus																																											
Polycentropus telifer																1																											
Polycentropus tenerifensis																1																											
Polycentropus terrai																1																											
Pseudoneureclipsis lusitanicus																1																											
PSYCHOMYIIDAE																																											
Paduniella uralensis																																											
Paduniella vandeli																1																											
Lype auripilis																				1																							
Lype phaeopa											10									1							1							8		2							
Lype reducta											10									1							1							8		2							
Psychomyia ctenophora					5	5											1																										
Psychomyia fragilis					5	5										1											1							8				1		1			
Psychomyia klapaleki					5	5											1																										
Psychomyia pusilla					5	5											1										1			2	5	3		6				2		1	1		
Tinodes agaricinus					5	5																																					
Tinodes alepochori					5	5																																					
Tinodes algiricus algiricus					5	5																																					
Tinodes algiricus hispaniae					5	5																																					
Tinodes aligi					5	5																																					
Tinodes amtkela																																											
Tinodes anemoessa					5	5																																					
Tinodes antonioi					5	5												1																									
Tinodes apuanorum					5	5												1																									
Tinodes aravil					5	5																																					
Tinodes archilochos					5	5																																					
Tinodes arcuatus					5	5																																					
Tinodes aspoeckae					5	5												1																									
Tinodes assimilis					5	5												1									1							8				1		1			
Tinodes baenai					5	5																																					
Tinodes braueri					5	5												1																8				1		1			
Tinodes bruttius					5	5												1																									
Tinodes canariensis					5	5																																					
Tinodes cinereus cinereus					5	5												1																									
Tinodes cinereus sardonius					5	5																																					
Tinodes conjuncta					5	5																																					
Tinodes cortensis					5	5																																					
Tinodes curvatus																																											
Tinodes dives cantabricus					5	5												1																									
Tinodes dives consiglioi					5	5												1											1	7	2			8				1		1			
Tinodes dives dives					4	4	2											1									1		1	7	2			8				1		1			
Tinodes erato					5	5												1																									
Tinodes fiumaltoensis					5	5																																					
Tinodes foedella					5	5												1																									
Tinodes griseus					5	5																																					
Tinodes gueneyensis					5	5																																					
Tinodes horstaspoecki					5	5												1																									
Tinodes janssensi					5	5												1																									
Tinodes kadiellus					5	5												1																									
Tinodes kimminsi					5	5												1																8				1		1			
Tinodes locuples					5	5												1																									
Tinodes luscinia					5	5												1																									
Tinodes maclachlani					5	5												1										1															
Tinodes maculicornis					5	5														1							1							8				1		1			
Tinodes makedonicus					5	5																																					
Tinodes manni					5	5																																					
Tinodes maroccanus					5	5												1																									
Tinodes megalopompos					5	5												1																									
Tinodes merula					5	5												1																									
Tinodes negevianus					5	5																																					
Tinodes pallidulus					5	5												1									1							8				1		1			
Tinodes petaludes					5	5												1																									
Tinodes peterressli					5	5												1																									
Tinodes polifurcatulus					5	5												1																									
Tinodes polyhymnia					5	5												1																									
Tinodes popovi					5	5												1																									
Tinodes portolafia					5	5												1																									
Tinodes raina					5	5												1																									
Tinodes rauschi rauschi					5	5												1																									
Tinodes reisseri					5	5												1																									
Tinodes rethimnon					5	5												1																									
Tinodes rostocki					5	5												1									1			7	3			8				1		1			
Tinodes sancta																																											
Tinodes sarisa					5	5												1																									
Tinodes serifos					5	5																																					
Tinodes sylvia					5	5												1																									
Tinodes unicolor					5	5												1									1		4	6				8				1		1			
Tinodes unidentatus					5	5												1																									
Tinodes waeneri marae					5	5																																					
Tinodes waeneri pollensa					5	5																																					
Tinodes waeneri waeneri					5	5									1							2	3	5				1		1	6	3		7				1		1	1		
Tinodes zelleri							10												1															8				1		1			
PTILOCOLEPIDAE																																											
Ptilocolepus extensus									10							1																											
Ptilocolepus granulatus granulatus									10							1						10						1	9	1				2			6	2					
RHYACOPHILIDAE																																											
Rhyacophila abchasica																																											
Rhyacophila adjuncta					5	5													1																						10		
Rhyacophila albardana					5	5													1																						10		
Rhyacophila angelieri					5	5													1																						10		
Rhyacophila aphrodite					5	5													1																								
Rhyacophila appennina					5	5													1																						10		
Rhyacophila aquitanica aquitanica					5	5													1																						10		
Rhyacophila aquitanica carpathica					5	5													1																								
Rhyacophila arcangelina					5	5													1																						10		
Rhyacophila armeniaca					5	5													1																								
Rhyacophila arties					5	5													1																						10		
Rhyacophila aurata					5	5													1										2	5	3										10		
Rhyacophila balcanica					5	5													1																								
Rhyacophila biegelmeieri					5	5													1																								
Rhyacophila bonaparti					5	5													1										9	1											10		
Rhyacophila bosnica					5	5													1																								
Rhyacophila braaschi					5	5													1																								
Rhyacophila brevifurcata					5	5													1																								
Rhyacophila cabrankensis																																											
Rhyacophila cibinensis					5	5													1																								
Rhyacophila confinium					5	5													1																								
Rhyacophila cupressorum																																											
Rhyacophila denticulifera					5	5													1																								
Rhyacophila diakoftensis					5	5													1																								
Rhyacophila doehleri					5	5													1																								
Rhyacophila dorsalis acutidens					5	5													1																						10		
Rhyacophila dorsalis albarracina					5	5													1																								
Rhyacophila dorsalis dorsalis					5	5													1							1				2	6	2									10		
Rhyacophila dorsalis nevada					5	5													1																								
Rhyacophila dorsalis pantinii					5	5													1																								
Rhyacophila dorsalis persimilis					5	5													1																								
Rhyacophila dorsalis plitvicensis					5	5													1																								
Rhyacophila eatoni					5	5													1																						10		
Rhyacophila evoluta					5	5													1																						10		
Rhyacophila fagarashiensis					5	5													1																								
Rhyacophila fasciata denticulata					5	5													1																						10		
Rhyacophila fasciata fasciata					5	5													1								1		2	4	4										10		
Rhyacophila fasciata kykladica					5	5													1																								
Rhyacophila fasciata mysica					5	5													1																								
Rhyacophila ferox																																					5				5		
Rhyacophila fischeri					5	5													1																								
Rhyacophila flava					5	5													1																								
Rhyacophila foliacea					5	5													1																						10		
Rhyacophila fonticola					5	5													1																								
Rhyacophila fragariae					5	5													1																								
Rhyacophila furcifera					5	5													1																								
Rhyacophila glareosa					5	5													1										5	5											10		
Rhyacophila gudrunae					5	5													1																								
Rhyacophila hartigi					5	5													1																						10		
Rhyacophila hirticornis					5	5													1										3	7											10		
Rhyacophila intermedia					5	5													1										5	5											10		
Rhyacophila italica ilvana					5	5													1																						10		
Rhyacophila italica italica					5	5													1																						10		
Rhyacophila joani					5	5													1																								
Rhyacophila joosti					5	5													1																								
Rhyacophila kelnerae					5	5													1																						10		
Rhyacophila kimminsiana					5	5													1																								
Rhyacophila konradthaleri																																											
Rhyacophila kownackiana					5	5													1																								
Rhyacophila laevis					5	5													1										4	6							10						
Rhyacophila laufferi					5	5													1																						10		
Rhyacophila loxias					5	5													1																								
Rhyacophila lusitanica					5	5													1																						10		
Rhyacophila margaritae					5	5													1																								
Rhyacophila martynovi martynovi					5	5													1																						10		
Rhyacophila martynovi tetensis					5	5													1																								
Rhyacophila melpomene					5	5													1																						10		
Rhyacophila meridionalis					5	5													1			6	4											1			1				8		
Rhyacophila meyeri					5	5													1																						10		
Rhyacophila mocsaryi mocsaryi					5	5													1															1			1				8		
Rhyacophila mocsaryi tredosensis					5	5													1																								
Rhyacophila morettina					5	5													1																								
Rhyacophila motasi					5	5													1																								
Rhyacophila munda					5	5													1									1													10		
Rhyacophila nubila					5	5													1							1				2	6	2									10		
Rhyacophila obelix					5	5													1																								
Rhyacophila obliterata					5	5													1											4	6										10		
Rhyacophila obtusa					5	5													1																								
Rhyacophila occidentalis					5	5													1															1			1				8		
Rhyacophila orghidani					5	5													1																								
Rhyacophila orobica					5	5													1										3	7											10		
Rhyacophila pallida					5	5													1																						10		
Rhyacophila palmeni					5	5													1																						10		
Rhyacophila pascoei					5	5													1											2	6	2									10		
Rhyacophila pendayica					5	5													1																								
Rhyacophila philopotamoides					5	5													1																						10		
Rhyacophila pirinica					5	5													1																								
Rhyacophila polonica					5	5													1										4	6											10		
Rhyacophila pongensis					5	5													1																								
Rhyacophila praemorsa					5	5													1										4	6											10		
Rhyacophila producta					5	5													1										7	3											10		
Rhyacophila psezuapse																																											
Rhyacophila pubescens					5	5													1										7	3											10		
Rhyacophila pulchra					5	5													1																						10		
Rhyacophila ravizzai					5	5													1																						10		
Rhyacophila rectispina					5	5													1																						10		
Rhyacophila relicta					5	5													1																						10		
Rhyacophila rougemonti					5	5													1																						10		
Rhyacophila rupta erkakanae					5	5													1																								
Rhyacophila rupta rupta					5	5													1																						10		
Rhyacophila schmidinarica					5	5													1																								
Rhyacophila simulatrix simulatrix					5	5													1										4	5	1										10		
Rhyacophila simulatrix vinconi					5	5													1										4	5	1										10		
Rhyacophila stigmatica					5	5													1										4	5	1										10		
Rhyacophila tarda					5	5													1																						10		
Rhyacophila terpsichore					5	5													1																						10		
Rhyacophila torrentium					5	5													1										2	5	3										10		
Rhyacophila trescavicensis					5	5													1																								
Rhyacophila trifasciata					5	5													1																								
Rhyacophila tristis					5	5													1										2	3	4	1		1			1				8		
Rhyacophila tsurakiana					5	5													1																								
Rhyacophila vallei					5	5													1																								
Rhyacophila vallisclausae					5	5													1				10																		10		
Rhyacophila vandeli					5	5													1																						10		
Rhyacophila vranitzensis					5	5													1																								
Rhyacophila vulgaris					5	5													1										3	4	3										10		
SERICOSTOMATIDAE																																											
Notidobia bizensis																																											
Notidobia ciliaris																1												1									10						
Notidobia forsteri																																											
Notidobia melanoptera																1																											
Notidobia nekibe																1																											
Notidobia sagarrai																1																											
Oecismus monedula monedula																		1																			10						
Oecismus mucidus																																											
Oecismus tjederi																																											
Schizopelex cachetica																																											
Schizopelex festiva																																											
Schizopelex furcifera																																											
Schizopelex huettingeri																																											
Sericostoma baeticum																																											
Sericostoma bergeri																																											
Sericostoma cianficconii																																											
Sericostoma clypeatum																																											
Sericostoma cristatum																																											
Sericostoma flavicorne	1		2	2	2					2	1					1													1	3	5	1					9				1		
Sericostoma galeatum														1																													
Sericostoma grusiense																																											
Sericostoma herakles																																											
Sericostoma italicum																																											
Sericostoma maclachlanianum																																											
Sericostoma memorabile																																											
Sericostoma personatum	1		2	2	2					2	1					1											1		3	4	3						9				1		
Sericostoma pyrenaicum																																											
Sericostoma romanicum																																											
Sericostoma siculum																																											
Sericostoma subaequale																																											
Sericostoma vittatum																																											
UENOIDAE																																											
Thremma anomalum				2	4	4												1																									
Thremma gallicum arvenense				2	4	4												1																									
Thremma gallicum gallicum				2	4	4												1																10									
Thremma sardoum				2	4	4												1																									
Thremma tellae				2	4	4												1																									
Lepidoptera																																											
PYRALIDAE																																											
ACENTROPINAE																																											
Acentria ephemerella															1																						10						
NYMPHULINAE																																											
Cataclysta lemnata														1																							10						
Elophila nymphaeata															1																				5		5						
Elophila rivulalis																																											
Nymphula nitidulata																																											
Nymphula stagnata																																			5		5						
Parapoynx nivalis																																											
Parapoynx stratiotata															1																						10						
SCHOENOBIINAE																																											
Donacaula forficella																																											
Donacaula mucronella																																											
Schoenobius gigantella																																											
Diptera																																											
Athericidae																													0	3	7	0	0								10		
Atherix flavipes																																											
Atherix ibis																		1																							10		
Atrichops crassipes																			1																						10		
Ibisia marginata																																									10		
Ibisia vaillanti																																											
BIBIONIDAE																																											
Bibio ferruginatus																																											
Bibio handlirschi																																											
Bibio hortulanus																																											
Bibio marci																																											
Dilophus febrilis																																											
BLEPHARICERIDAE																																											
BLEPHARICERINAE-Tribus Apistomyiini																																											
Apistomyia aphrodite																																											
Apistomyia ariadne																																											
Apistomyia elegans																																											
BLEPHARICERINAE-Tribus Blepharicerini																																											
Blepharicera fasciata fasciata																			1															10									
Blepharicera fasciata gynops																			1															10									
Dioptopsis djordjevici																																											
Dioptopsis sardous																																											
Dioptopsis vernus																																											
Hapalothrix lugubris																																		10									
Liponeura alticola																																											
Liponeura angelieri																																											
Liponeura bezzii																																											
Liponeura bilobata																																		10									
Liponeura bischoffi																																											
Liponeura brevirostris																			1															10									
Liponeura buresi																																											
Liponeura cinerascens cinerascens																			1															10									
Liponeura cinerascens minor																			1															10									
Liponeura cordata																			1															10									
Liponeura cortensis																																											
Liponeura cretica																																											
Liponeura cypria																																											
Liponeura decampsi																																											
Liponeura deceptiva																																											
Liponeura deceptrix																																											
Liponeura decipiens																			1															10									
Liponeura discophora																			1															10									
Liponeura edwardsi																																											
Liponeura edwardsiana																																											
Liponeura gelaiana																																											
Liponeura hispanica																																											
Liponeura isabellae																																											
Liponeura itala																																											
Liponeura komareki																																		10									
Liponeura limomi																																											
Liponeura malickyi																																											
Liponeura matris																																											
Liponeura nevadensis																																											
Liponeura paradecipiens																																											
Liponeura vimmeri																			1															10									
CECIDOMYIIDAE																																											
PORRICONDYLINAE																																											
Dicerura iridis																																											
Ceratopogonidae																													0	2	2	2	1					5			5		
CERATOPOGONINAE																																											
Alluaudomyia bohemiae																																											
Alluaudomyia falcata																																											
Alluaudomyia hygropetrica																																											
Alluaudomyia needhami																																											
Alluaudomyia quadripunctata																																											
Alluaudomyia splendida																																											
Brachypogon aquilonalis																																											
Brachypogon borealis																																											
Brachypogon hyperboreus																																											
Brachypogon incompletus																																											
Brachypogon nieves																																											
Brachypogon nitidulus																																											
Brachypogon perpusilla																																											
Brachypogon sociabilis																																											
Brachypogon vitiosus																																											
Ceratoculicoides havelkai																																											
Ceratoculicoides moravicus																																											
Ceratopogon communis																																											
Ceratopogon crassinervis																																											
Ceratopogon grandiforceps																																											
Ceratopogon lacteipennis																																											
Ceratopogon longitarsis																																											
Ceratopogon niveipennis																																											
Culicoides abchazicus																																											
