Taxon	microhab_pel	microhab_arg	microhab_psa	microhab_aka	microhab_mil	microhab_mal	microhab_hpe	microhab_alg	microhab_mph	microhab_pom	microhab_woo	microhab_mad	microhab_oth	current_lib	current_lip	current_lrp	current_rlp	current_rhp	current_rhb	current_ind	temp_vco	temp_cod	temp_mod	temp_war	temp_eut	pH_aci	pH_neu	pH_ind	sapro_xeno	sapro_oligo	sapro_beta	sapro_alpha	sapro_poly	feedingtype_gra	feedingtype_min	feedingtype_xyl	feedingtype_shr	feedingtype_gat	feedingtype_aff	feedingtype_pff	feedingtype_pre	feedingtype_par	feedingtype_other
Theodoxus transversalis																														6	4			10									
PHYSIDAE																																											
Aplexa hypnorum														1																4	6			5			2	2					1
Physa dalmatina																																											
Physa fontinalis																1														5	5			6			2						2
Physella acuta																				1											4	5	1	4			2	2					2
Physella gyrina																																											
Physella heterostropha																1																		4			2	2					2
PLANORBIDAE																																											
Ancylus capuloides																																											
Ancylus fluviatilis																			1										1	3	3	3		10									
Ancylus pileolus																																											
Anisus calculiformis																														2	8			5			3						2
Anisus septemgyratus															1															2	6	2		5			3						2
Anisus spirorbis														1																				5			3						2
Anisus vortex																1														2	4	4		5			3						2
Anisus vorticulus														1																	10			5			3						2
Bathyomphalus contortus																1														4	5	1		5			3						2
Ferrissia clessiniana																1														2	4	4		4			4						2
Gyraulus acronicus															1															5	5			6			2						2
Gyraulus albus																1													1	3	3	3		6			2						2
Gyraulus chinensis																																		6			2						2
Gyraulus crista															1															2	4	4		6			2						2
Gyraulus crista f. spinulosa																																											
Gyraulus laevis														1																4	6			6			2						2
Gyraulus parvus															1																												
Gyraulus riparius														1																				10									
Gyraulus rossmaessleri														1																				6			2						2
Hippeutis complanatus															1															4	4	2		6			2						2
Hippeutis stossichi																																											
Menetus dilatatus																1																											
Planorbarius corneus																1														2	4	4		4			2	2					2
Planorbella duryi																																		4			2	2					2
Planorbis carinatus																1														3	7			6			2						2
Planorbis planorbis																1														2	7	1		6			2						2
Segmentina nitida																1																		10									
PYRGULIDAE																																											
Pyrgula annulata																																						2	8				
RISSOIDAE																																											
Lanzaia edlaueri																																											
Lanzaia elephantotus																																											
Lanzaia kotlusae																																											
Lanzaia rudnicae																																											
Lanzaia skradinensis																																											
Lanzaia vjetrenicae kusceri																																											
Lanzaia vjetrenicae latecostata																																											
Lanzaia vjetrenicae vjetrenicae																																											
SUCCINEIDAE																																											
Catinella arenaria																																											
Oxyloma elegans																																											
Oxyloma sarsii																																											
Succinea putris																																											
Succinella oblonga																																											
THIARIDAE																																											
Melanoides tuberculatus																																		2				6					2
VALVATIDAE																																											
Borysthenia naticina																	1													2	8			2				8					
Valvata cristata																1														2	4	4		10									
Valvata macrostoma														1																				10									
Valvata piscinalis alpestris																1														6	4							10					
Valvata piscinalis antiqua																1																						10					
Valvata piscinalis discors																1																						10					
Valvata piscinalis piscinalis																1														2	4	4						10					
Valvata sibirica																																											
Valvata studeri															1																							10					
VERTIGINIDAE																																											
Vertigo alpestris																																											
Vertigo angustior																																											
Vertigo antivertigo																																											
Vertigo genesii																																											
Vertigo geyeri																																											
Vertigo lilljeborgi																																											
Vertigo moulinsiana																																											
Vertigo pygmaea																																											
Vertigo substriata																																											
VIVIPARIDAE																																											
Viviparus acerosus																	1													2	6	2		7					3				
Viviparus ater																														5	5			7					3				
Viviparus contectus															1															2	5	3		7					3				
Viviparus mamillatus																																											
Viviparus viviparus																	1													2	7	1		5				3	2				
ZONITIDAE																																											
Zonitoides nitidus																																											
Bivalvia																																											
CARDIIDAE																																											
Parvicardium exiguum																																											
CORBICULIDAE																																											
"Corbicula ""fluminalis"""																	1																						10				
Corbicula fluminea																																											
DREISSENIDAE																																											
Congeria kusceri																																											
Congeria leucophaeata																		1																						10			
Dreissena bugensis																																											
Dreissena polymorpha																				1										3	5	2							10				
MARGARITIFERIDAE																																											
Margaritifera margaritifera																			1										2	8									10				
Pseudunio auricularius																																											
MYTILIDAE																																											
Mytilus edulis																																							10				
Mytilus galloprovincialis																																											
